FSTOTDE2,CERTHHSZ,FSSSI,FSGA,FSUNEARN,RAWNET,FSTOTDED,FSASSET,WRK_POOR,FSSLTDE2,SHELDED,FSNETINC,FSEARN,FSGRINC,FSERNDE2,FSDIS,FSUSIZE,RAWERND,FSERNDED,FSSTDDE2,FSWAGES,TANF_IND,TPOV,FSSLTDED,FSTANF,FSNELDER,LIQRESOR,REALPROP,HWGT,FSNONCIT,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,3.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,704.5805438707989,0.0,0.0,0.0,1.0
310.0,1.0,0.0,0.0,844.0,534.0,310.0,0.0,0.0,176.0,176.0,534.0,0.0,844.0,0.0,0.0,1.0,0.0,0.0,201.0,0.0,0.0,103.0,176.0,0.0,1.0,0.0,0.0,869.2314375616088,0.0,0.0,0.0,1.0
577.0,4.0,0.0,0.0,469.0,92.0,577.0,0.0,1.0,398.0,398.0,92.0,200.0,669.0,60.0,0.0,4.0,40.0,40.0,209.0,200.0,1.0,40.0,398.0,469.0,0.0,0.0,0.0,749.4024203653986,0.0,1.0,0.0,1.0
134.0,2.0,0.0,0.0,890.0,732.0,134.0,0.0,0.0,0.0,23.0,756.0,0.0,890.0,0.0,0.0,2.0,0.0,0.0,134.0,0.0,0.0,81.0,0.0,0.0,1.0,0.0,0.0,952.088838139332,0.0,0.0,0.0,1.0
139.0,4.0,603.0,0.0,993.0,854.0,139.0,0.0,0.0,0.0,0.0,854.0,0.0,993.0,0.0,1.0,4.0,0.0,0.0,139.0,0.0,1.0,60.0,0.0,390.0,0.0,0.0,0.0,997.1766915079196,0.0,1.0,0.0,1.0
231.0,1.0,0.0,0.0,231.0,0.0,317.0,0.0,0.0,97.0,183.0,0.0,0.0,231.0,0.0,0.0,1.0,0.0,0.0,115.0,0.0,1.0,28.0,183.0,231.0,0.0,0.0,0.0,711.655694960853,0.0,1.0,0.0,1.0
537.0,5.0,0.0,0.0,300.0,0.0,626.0,11.0,1.0,328.0,417.0,0.0,237.0,537.0,0.0,0.0,5.0,47.0,47.0,153.0,237.0,0.0,28.0,417.0,0.0,0.0,11.0,0.0,747.4949387192786,0.0,0.0,0.0,1.0
286.0,2.0,0.0,0.0,1144.0,858.0,286.0,0.0,0.0,152.0,152.0,858.0,0.0,1144.0,0.0,1.0,2.0,0.0,0.0,201.0,0.0,0.0,104.0,152.0,0.0,1.0,0.0,0.0,984.6907159197356,0.0,0.0,0.0,1.0
352.0,4.0,0.0,0.0,0.0,714.0,352.0,0.0,1.0,0.0,0.0,714.0,1066.0,1066.0,213.0,0.0,4.0,213.0,213.0,139.0,1066.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,951.534062604676,0.0,0.0,0.0,1.0
134.0,2.0,363.0,0.0,1246.0,1112.0,134.0,0.0,0.0,0.0,0.0,1112.0,0.0,1246.0,0.0,1.0,2.0,0.0,0.0,134.0,0.0,0.0,113.0,0.0,0.0,1.0,0.0,0.0,1003.1651133253492,0.0,1.0,0.0,1.0
